delta-t in [microseconds]	g_x in [mg]	g_y in [mg]	g_z in [mg]
1604	5824	9	4125
1604	5824	9	4059
1600	5632	9	4081
1600	5808	9	3938
1604	5824	9	4070
1604	5984	9	4092
1604	5632	9	4059
1604	5872	9	4048
1600	5824	9	4114
1600	5872	9	4059
1604	5648	9	4114
1604	5824	9	4004
1600	5600	9	3971
1604	6016	9	4081
1604	5680	9	4125
1600	5824	9	4048
1600	5680	9	4081
1604	6016	9	4048
1604	5648	9	4070
1608	5904	9	4059
1604	5696	9	4092
1600	5824	9	4015
1600	5744	9	4081
1604	5776	9	4037
1604	5760	9	4136
1604	5856	9	4026
1604	5888	9	4081
1604	5904	9	4026
1604	5840	9	4136
1604	5808	9	4037
1604	5728	9	4081
1600	5776	9	3916
1600	5776	9	4081
1604	5984	9	4136
1604	5744	9	4070
1604	5856	9	4048
1604	5936	9	4081
1604	5856	9	4081
1600	5744	9	4092
1604	5824	9	4015
1604	5808	9	3971
1604	5984	9	4059
1604	5776	9	4114
1604	5808	9	4048
1608	5776	9	4081
1604	6000	9	4059
1604	5744	9	4070
1604	5872	9	4081
1604	5776	9	4081
1604	5808	9	4037
1604	5856	9	4059
1600	5776	9	4048
1604	5856	9	4147
1604	5824	9	4048
1604	5936	9	4059
1604	5872	9	4037
1604	5904	9	4136
1604	5744	9	4048
1604	5776	9	4048
1604	5744	9	3949
1600	5856	9	4092
1604	5936	9	4147
1604	5776	9	4026
1604	5824	9	4059
1604	6016	9	4081
1600	5808	9	4081
1608	5808	9	4059
1604	5520	9	4048
1608	5856	9	3949
1600	5920	9	4125
1604	5856	9	4081
1600	5744	9	4048
1604	5824	9	4048
1604	5936	9	4103
1604	5776	9	4037
1604	5600	9	4092
1600	5824	9	4026
1604	5744	9	4037
1604	5888	9	4059
1604	5568	9	4048
1604	5888	9	4092
1604	5744	9	4081
1608	6000	9	4048
1600	5632	9	4048
1604	5936	9	4081
1604	5680	9	4081
1600	5824	9	4037
1600	5616	9	3971
1604	5888	9	4048
1604	5872	9	4169
1600	5824	9	4004
1600	5808	9	4059
1600	6016	9	4048
1608	5728	9	4092
1600	5824	9	4048
1608	5632	9	4059
1604	5872	9	3916
1600	5744	9	4125
1600	5872	9	4059
1600	5664	9	4048
1604	5856	9	4048
1608	5888	9	4136
1600	5808	9	4004
1600	5696	9	4092
1600	5840	9	4004
1604	5872	9	4048
1604	5888	9	4037
1604	5648	9	4048
1600	5904	9	4081
1604	5728	9	4081
1604	6000	9	4048
1600	5696	9	4081
1608	5936	9	4092
1608	5744	9	4059
1604	5808	9	4015
1600	5696	9	3993
1604	5872	9	4004
1604	5824	9	4202
1600	5824	9	4026
1600	5888	9	4081
1608	6016	9	4059
1604	5824	9	4136
1600	5776	9	4026
1604	5728	9	4059
1604	5856	9	3949
1604	5824	9	4136
1604	5856	9	4081
1600	5744	9	4059
1604	5824	9	4059
1604	5984	9	4136
1608	5776	9	4026
1600	5760	9	4081
1604	5824	9	4048
1600	5936	9	4070
1604	5888	9	4059
1600	5728	9	4048
1600	5888	9	4081
1604	5808	9	4059
1600	5968	9	4070
1600	5744	9	4048
1600	5904	9	4114
1604	5808	9	4048
1604	5776	9	4048
1600	5744	9	3993
1600	5856	9	4059
1600	5888	9	4180
1600	5776	9	4037
1604	5936	9	4059
1604	5952	9	4081
1600	5856	9	4114
1600	5744	9	4059
1604	5744	9	4037
1600	5824	9	3993
1600	5888	9	4114
1600	5824	9	4136
1604	5776	9	4004
1604	5808	9	4059
1600	6016	9	4136
1604	5744	9	4048
1604	5824	9	4070
1604	5504	9	4048
1600	5952	9	4004
1600	5856	9	4081
1600	5744	9	4004
1608	5824	9	4092
1604	5840	9	4081
1604	5904	9	4092
1604	5808	9	4048
1604	5600	9	4125
1604	5824	9	4026
1604	5744	9	4059
1604	5776	9	3949
1600	5680	9	4059
1604	5936	9	4136
1604	5728	9	4048
1604	5984	9	4037
1604	5728	9	4092
1604	5888	9	4081
1604	5680	9	4092
1600	5776	9	4004
1600	5680	9	3971
1608	5904	9	4081
1604	5744	9	4114
1604	5824	9	3993
1604	5776	9	4081
1604	6016	9	4081
1604	5648	9	4081
1600	5824	9	4048
1600	5648	9	4059
1604	5984	9	4004
1600	5648	9	4081
1600	5776	9	4015
1604	5744	9	4114
1604	5856	9	4037
1604	5888	9	4136
1604	5824	9	4004
1604	5744	9	4136
1600	5856	9	4037
1600	5856	9	4092
1604	5760	9	3949
1604	5744	9	4081
1604	5936	9	4114
1604	5680	9	4081
1604	5984	9	4059
1608	5824	9	4125
1608	5888	9	4059
1604	5744	9	4081
1600	5776	9	4004
1604	5744	9	3993
1604	5904	9	4059
1604	5728	9	4136
1600	5808	9	4004
1600	5888	9	4081
1604	6016	9	4125
1604	5744	9	4059
1604	5824	9	4059
1608	5744	9	4059
1604	5984	9	4048
1600	5744	9	4081
1604	5744	9	4004
1604	5824	9	4125
1604	5824	9	4048
1604	5936	9	4125
1604	5776	9	4026
1604	5824	9	4136
1604	5824	9	4048
1600	5920	9	4081
1608	5744	9	4004
1600	5824	9	4081
1608	5904	9	4114
1600	5776	9	4059
1604	5936	6	4059
1604	5888	9	4092
1604	5856	9	4125
1604	5824	9	4059
1600	5744	9	4026
1604	5824	9	3971
1604	5888	9	4114
1604	5792	9	4136
1604	5744	9	4037
1604	5936	9	4048
1604	5904	9	4125
1604	5776	9	4048
1604	5744	9	4059
1600	5776	9	4048
1604	5744	9	4048
1604	5824	9	4114
1604	5696	9	4048
1604	5888	9	4026
1600	5776	9	4081
1604	6016	9	4081
1604	5728	9	4048
1608	5856	9	4059
1600	5600	9	4081
1604	5984	9	4026
1604	5680	9	4037
1600	5840	9	4037
1604	5744	9	4136
1604	5824	9	4048
1608	5872	9	4081
1600	5904	9	4048
1608	5632	9	4136
1604	5824	9	4026
1604	5680	9	4048
1604	5856	9	3949
1600	5728	9	4103
1604	5824	9	4081
1600	5632	9	4081
1608	5984	9	4037
1600	5776	9	4147
1600	5808	9	4004
1604	5680	9	4081
1600	5808	9	4037
1604	5824	9	4081
1604	5824	9	4048
1604	5568	9	4059
1600	5888	9	4048
1600	5824	9	4081
1604	6016	9	4081
1604	5680	9	4070
1604	5872	6	4081
1600	5680	9	4059
1600	5984	9	4048
1600	5600	9	4026
1604	5856	9	4015
1604	5824	9	4136
1608	5824	9	4026
1604	5888	9	4136
1604	5888	9	4048
1604	5728	9	4136
1604	5824	9	4037
1600	5840	9	4059
1600	5824	9	3949
1608	5824	9	4125
1604	5824	9	4059
1600	5728	9	4048
1600	5984	9	4037
1600	5856	9	4180
1604	5808	9	4037
1604	5776	9	4081
1604	5776	9	4037
1604	5904	9	4059
1604	5856	9	4048
1604	5648	9	4081
1600	5888	9	4081
1604	5904	9	4059
1604	6000	9	4081
1604	5744	9	4037
1604	5856	9	4081
1604	5744	9	4081
1604	5952	9	4048
1604	5680	9	4026
1604	5824	9	4048
1604	5888	9	4136
1600	5776	9	4037
1604	5952	9	4081
1604	5872	9	4059
1600	5760	9	4092
1604	5824	9	4048
1600	5904	9	4059
1600	5776	9	4004
1608	5888	9	4092
1600	5808	9	4081
1604	5760	9	4048
1604	5936	9	4059
1604	5904	9	4136
1608	5744	9	4048
1600	5856	9	4048
1600	5744	9	4048
1600	5936	9	4048
1600	5776	9	4092
1600	5696	9	4037
1604	5856	9	4092
1604	5936	9	4048
1604	5744	9	4136
1600	5808	9	4048
1600	5808	9	4114
1600	5808	9	4037
1604	5680	9	4059
1604	5696	9	4004
1604	5776	9	4059
1604	5936	9	4081
1608	5744	9	4048
1600	6000	9	4081
1600	5824	9	4081
1600	5808	9	4059
1600	5600	9	4048
1600	5936	9	4026
1600	5744	9	4004
1608	5904	9	4081
1600	5680	9	4092
1604	5824	9	4026
1604	5888	9	4092
1600	5936	9	4081
1600	5552	9	4048
1612	5872	9	4037
1600	5680	9	4059
1600	5968	9	4037
1604	5632	9	4081
1604	5744	9	4004
1604	5728	9	4081
1604	5984	9	4004
1604	5744	9	4136
1604	5824	9	4004
1600	5728	9	4092
1604	5808	9	4004
1600	5824	9	4081
1600	5728	9	3971
1604	5632	9	4059
1604	5936	9	4081
1600	5776	9	4059
1604	6016	9	4081
1604	5776	9	4125
1604	5824	9	4048
1600	5680	9	4048
1600	5936	9	4015
1600	5632	9	4048
1600	5904	9	4048
1612	5680	9	4092
1604	5824	9	4004
1600	5872	9	4114
1600	5936	9	4125
1604	5632	9	4048
1604	5872	9	4026
1604	5856	9	4081
1604	5952	9	4059
1600	5744	9	4081
1604	5728	9	4004
1608	5808	9	4125
1600	5968	9	4059
1604	5824	9	4125
1604	5808	9	4015
1604	5824	9	4125
1604	5808	9	4037
1600	5888	9	4114
1604	5696	9	3993
1604	5728	9	4081
1604	5936	9	4081
1600	5872	9	4059
1600	5984	9	4114
1604	5872	9	4092
1600	5776	9	4081
1604	5744	9	4059
1604	5936	9	4037
1604	5728	9	4015
1600	5888	9	4081
1600	5744	9	4136
1604	5776	9	4004
1604	5936	9	4081
1604	5904	9	4114
1600	5680	9	4059
1600	5824	9	4037
1600	5904	9	4081
1604	5936	9	4059
1604	5776	9	4081
1604	5680	9	4004
1604	5872	9	4114
1600	5936	9	4059
1604	5888	9	4125
1604	5744	9	4026
1604	5872	9	4081
1604	5744	9	4037
1604	5936	9	4059
1604	5680	9	3993
1604	5776	9	4048
1604	5904	9	4125
1604	5904	9	4037
1604	5936	9	4114
1600	5904	9	4059
1608	5744	9	4081
1600	5776	6	4037
1604	5648	9	4048
1604	5744	9	4004
1600	5824	9	4081
1604	5808	9	4059
1604	5744	9	4048
1604	5984	9	4092
1604	5872	9	4136
1608	5728	9	4004
1600	5600	9	4059
1604	5952	9	4037
1604	5872	9	4103
1604	5808	9	4048
1604	5568	9	4004
1600	5904	9	4059
1608	5888	9	4114
1600	5904	9	4081
1604	5520	9	4059
1604	5904	9	4048
1600	5680	9	4059
1600	5936	9	4059
1604	5504	9	4004
1608	5824	9	4048
1600	5824	9	4136
1604	5936	9	4026
1600	5696	9	4136
1608	5904	9	4048
1604	5680	9	4114
1604	5808	9	4004
1604	5776	9	4081
1604	5744	9	3960
1604	5680	9	4125
1600	5824	9	4004
1600	5760	9	4037
1604	6000	9	4059
1604	5808	9	4136
1604	5744	9	3993
1604	5696	9	4081
1608	5952	9	4026
1600	5744	9	4081
1604	5824	9	4037
1600	5600	9	4015
1600	5904	9	4048
1608	5872	9	4092
1600	5904	9	4081
1608	5632	9	4048
1604	5904	9	4048
1612	5856	9	4048
1604	5936	9	4048
1600	5616	9	4004
1604	5808	6	4004
1604	5824	9	4169
1604	5936	9	4026
1600	5824	9	4114
1604	5904	9	4059
1604	5744	9	4081
1604	5776	9	4048
1604	5872	9	4059
1600	5744	9	3949
1600	5744	9	4114
1604	5808	9	4037
1604	5856	9	4048
1604	5984	9	4081
1604	5888	9	4136
1604	5728	9	4026
1604	5744	9	4059
1604	5936	9	4037
1604	5824	9	4125
1604	5776	9	4059
1600	5680	9	4004
1604	5888	9	4081
1604	5936	9	4081
1600	5888	9	4081
1604	5696	9	4048
1604	5888	9	4081
1600	5920	9	4081
1604	5904	9	4059
1604	5664	9	4004
1604	5808	9	4048
1608	5888	9	4136
1604	5904	9	4059
1604	5872	9	4114
1604	5872	9	4070
1604	5824	9	4081
1600	5744	9	4037
1604	5904	9	4048
1600	5744	9	3993
1600	5824	9	4136
1604	5776	9	4048
1604	5904	9	4004
1600	5936	9	4092
1604	5936	9	4125
1604	5680	9	4004
1600	5824	9	4048
1604	5648	9	4059
1600	5888	9	4103
1604	5744	9	4081
1600	5728	9	3960
1608	5856	9	4081
1604	5984	9	4081
1604	5824	3	4092
1600	5744	9	4004
1604	5600	9	4092
1604	5936	9	4026
1600	5872	9	4092
1600	5680	9	3949
1604	5744	9	4037
1604	5936	9	4114
1604	5856	9	4081
1604	5888	9	4092
1600	5616	9	4125
1604	5824	9	4026
1604	5696	9	4048
1600	5936	9	4037
1600	5568	9	4004
1600	5856	9	4059
1604	5728	9	4070
1604	5936	9	4004
1604	5680	9	4114
1604	5936	9	4114
1600	5632	9	4048
1604	5824	9	4026
1604	5776	9	4070
1604	5904	9	4048
1604	5680	9	4081
1600	5744	9	3949
1600	5824	9	4125
1600	6000	9	4081
1604	5744	9	4114
1604	5744	9	3993
1608	5728	9	4092
1600	5968	9	4037
1600	5680	9	4114
1604	5696	9	3949
1600	5648	9	4070
1604	5936	9	4081
1604	5776	9	4081
1604	5888	9	4081
1604	5728	9	4125
1600	5824	9	4037
1608	5824	9	4081
1600	5936	9	4026
1604	5680	9	4048
1600	5856	9	4059
1600	5632	9	4092
1600	5936	9	4004
1608	5744	9	4114
1600	5936	9	4114
1600	5632	9	4048
1608	5824	9	4004
1600	5840	9	4081
1604	5888	9	4081
1600	5632	9	4059
1608	5744	9	3949
1600	5936	9	4114
1604	5984	9	4081
1604	5824	9	4136
1604	5744	9	3993
1608	5776	9	4092
1600	5952	9	4026
1604	5776	9	4125
1600	5680	9	3949
1600	5744	9	4081
1604	5936	9	4114
1600	5856	9	4081
1608	5888	9	4081
1600	5760	9	4125
1600	5824	9	4048
1604	5888	9	4048
1604	5904	9	4048
1604	5744	9	4026
1604	5840	9	4048
1604	5696	9	4059
1600	5936	9	4026
1604	5824	9	4125
1604	5904	9	4136
1604	5680	9	4037
1604	5824	9	4048
1604	5904	9	4092
1600	5888	9	4048
1600	5680	9	4092
1604	5728	9	3971
1604	6000	9	4114
1604	5952	9	4081
1600	5888	9	4136
1600	5744	9	4004
1604	5824	9	4092
1600	5936	9	4048
1608	5824	9	4136
1600	5664	9	3949
1604	5776	9	4048
1608	5888	9	4114
1600	5904	9	4059
1600	5856	9	4081
1604	5824	9	4136
1604	5776	9	4037
1600	5920	9	4048
1608	5888	9	4081
1604	5760	9	4004
1604	5824	9	4081
1600	5744	9	4059
1604	5904	9	4048
1604	5872	9	4092
1604	5888	9	4114
1604	5744	9	3993
1604	5776	9	4059
1604	5936	9	4048
1604	5824	9	4081
1604	5712	9	4048
1604	5680	9	4004
1604	6032	9	4059
1604	5904	9	4114
1604	5904	9	4081
1604	5680	9	4004
1600	5856	9	4059
1604	5696	9	4059
1604	5872	9	4081
1604	5616	9	3971
1604	5824	9	3960
1604	5856	9	4136
1600	5936	9	4081
1600	5808	9	4136
1600	5856	9	4081
1600	5568	9	4081
1600	5936	9	4004
1608	5824	9	4103
1600	5808	9	4004
1604	5680	9	4070
1604	5744	9	4037
1604	5872	9	4059
1604	5888	9	4081
1600	5648	9	4136
1600	5744	9	3949
1604	5744	9	4070
1604	5936	9	4037
1604	5696	9	4114
1600	5712	9	4004
1604	5648	9	4004
1604	6064	9	4059
1604	5680	9	4092
1600	5904	9	4092
1600	5632	9	4026
1600	5872	9	4070
1604	5776	9	4059
1604	5872	9	4059
1604	5504	9	4004
1604	5824	9	4004
1604	5872	9	4136
1604	5936	9	4059
1604	5744	9	4125
1600	5872	6	4048
1600	5632	9	4059
1604	5936	9	4004
1604	5696	9	4081
1604	5824	9	3971
1604	5680	9	4103
1604	5776	9	4026
1608	5840	9	4081
1600	5888	9	4081
1604	5728	9	4136
1604	5744	9	3960
1604	5888	9	4059
1600	5936	9	4048
1604	5776	9	4081
1604	5728	9	4004
1604	5632	9	4015
1604	6064	9	4059
1604	5744	9	4103
1600	5904	9	4059
1600	5696	9	4048
1608	5856	9	4070
1604	5856	9	4092
1604	5872	9	4059
1604	5568	9	4004
1600	5824	9	4026
1604	5936	9	4114
1604	5936	9	4048
1604	5824	9	4136
1604	5856	9	4059
1600	5680	9	4048
1604	5936	9	4037
1604	5776	9	4081
1604	5808	9	4026
1600	5744	9	4059
1612	5744	9	4015
1604	5904	9	4081
1604	5872	9	4081
1600	5776	9	4136
1600	5744	9	3993
1600	5936	9	4081
1600	5936	9	4048
1608	5840	9	4081
1600	5680	9	4004
1600	5680	9	4026
1604	6032	9	4114
1604	5824	9	4125
1600	5888	9	4081
1600	5744	9	4037
1600	5824	9	4059
1604	5904	9	4092
1600	5824	9	4081
1604	5616	9	3971
1600	5824	9	4004
1604	5984	9	4125
1604	5904	9	4059
1604	5872	9	4114
1604	5824	9	4092
1608	5744	9	4037
1600	5936	9	4048
1604	5824	9	4114
1604	5776	9	4026
1600	5808	9	4048
1604	5728	9	4004
1604	5952	9	4081
1604	5856	9	4114
1604	5824	9	4125
1600	5728	9	4015
1604	5984	9	4081
1604	5888	9	4070
1604	5872	9	4070
1604	5648	9	4004
1604	5744	9	4004
1600	6016	9	4114
1604	5856	9	4114
1600	5856	9	4114
1600	5808	9	3993
1600	5808	9	4081
1600	5936	9	4048
1604	5776	9	4059
1604	5648	9	3971
1612	5776	9	4048
1608	6016	9	4081
1600	5872	9	4081
1600	5888	9	4092
1604	5776	9	4081
1604	5744	9	4004
1604	5696	9	4081
1604	5872	9	4048
1600	5744	9	4048
1604	5824	9	4037
1604	5680	9	4015
1600	6000	9	4059
1604	5808	9	4092
1604	5856	9	4081
1600	5504	9	4004
1604	6016	9	4037
1600	5856	9	4125
1604	5888	9	4081
1608	5472	9	4004
1604	5744	9	3971
1600	5984	6	4136
1600	5872	9	4048
1600	5632	9	4136
1608	5824	9	4004
1604	5744	9	4081
1600	5936	9	4048
1600	5680	9	4081
1604	5680	9	3949
1604	5728	9	4048
1604	6016	9	4081
1608	5648	9	4081
1600	5904	9	4048
1604	5744	9	4081
1604	5744	9	3993
1604	5808	9	4059
1604	5888	9	4048
1600	5632	9	4081
1608	5824	9	3993
1600	5680	9	4015
1600	6016	9	4059
1600	5728	9	4136
1600	5856	9	4081
1604	5600	9	4004
1604	6016	9	4048
1604	5728	9	4092
1600	5888	9	4048
1600	5520	9	4004
1600	5776	9	3971
1604	5936	9	4147
1608	5872	9	4059
1600	5696	9	4136
1600	5856	9	3993
1608	5872	9	4081
1604	5936	9	4037
1600	5744	9	4081
1604	5680	9	3949
1608	5728	9	4059
1600	6000	9	4048
1604	5728	9	4092
1604	5888	9	4081
1600	5776	9	4092
1600	5744	9	3993
1604	5872	9	4114
1604	5872	9	4048
1604	5696	9	4070
1604	5824	9	4004
1600	5744	9	4026
1608	6016	9	4059
1600	5808	9	4136
1604	5856	9	4081
1600	5648	6	4026
1604	6016	9	4048
1604	5776	9	4081
1600	5872	9	4081
1600	5568	9	3982
1604	5808	9	4004
1604	6016	9	4136
1604	5856	9	4059
1604	5744	9	4114
1604	5840	9	4004
1604	5904	9	4081
1604	5936	9	4059
1604	5776	9	4059
1604	5680	9	3938
1600	5744	9	4070
1604	5984	9	4059
1604	5776	9	4081
1600	5888	9	4092
1600	5856	9	4092
1604	5728	9	4026
1604	5904	9	4081
1604	5856	9	4059
1604	5744	9	4059
1604	5776	9	4026
1604	5808	9	4026
1604	6000	9	4114
1604	5856	9	4114
1600	5808	9	4059
1604	5696	9	4004
1604	6016	9	4059
1600	5856	9	4114
1600	5824	9	4103
1604	5632	9	3949
1600	5744	9	4026
1608	6032	9	4147
1600	5824	9	4059
1604	5824	9	4136
1600	5824	9	4059
1600	5936	9	4070
1604	5888	9	4070
1604	5824	9	4081
1604	5648	9	3949
1604	5824	9	4081
1608	5936	9	4081
1600	5824	9	4081
1608	5840	9	4092
1604	5888	9	4092
1600	5680	9	4015
1600	5936	9	4059
1604	5744	9	4092
1608	5808	3	4059
1600	5744	9	4048
1604	5824	9	4004
1604	5984	9	4114
1604	5888	9	4081
1600	5776	9	4081
1600	5728	9	4004
1604	5728	9	4081
1604	5888	9	4081
1608	5776	9	4092
1604	5648	9	3916
1600	5744	9	4004
1608	6080	9	4136
1600	5760	9	4070
1604	5824	9	4059
1600	5600	9	4048
1608	5968	9	4048
1600	5840	9	4092
1604	5824	9	4037
1604	5488	9	4004
1600	5856	9	4048
1600	5888	9	4092
1604	5840	9	4037
1604	5600	9	4125
1604	5888	9	4048
1600	5632	9	4037
1600	5952	9	4048
1600	5680	9	4081
1604	5824	9	4037
1604	5648	9	4048
1604	5856	9	3949
1604	5728	9	4136
1600	5888	9	4059
1604	5728	9	4092
1604	5744	9	3949
1604	5840	9	4136
1604	5888	9	4048
1604	5632	9	4081
1600	5648	9	3905
1600	5744	9	4026
1604	6080	9	4114
1600	5680	9	4114
1604	5856	9	4059
1600	5680	9	4081
1608	5952	9	4037
1604	5696	9	4136
1604	5840	9	4048
1600	5600	9	3971
1600	5856	9	4026
1604	5760	6	4081
1604	5856	9	4048
1600	5680	9	4114
1600	5888	9	4048
1604	5744	9	4037
1604	5968	9	4048
1604	5744	9	4081
1604	5824	9	4048
1600	5616	9	4048
1600	5872	9	3971
1604	5824	9	4136
1604	5888	9	4059
1604	5744	9	4092
1604	5744	9	3949
1604	5904	9	4114
1604	5888	9	4048
1600	5696	9	4114
1600	5648	9	3905
1600	5824	9	4048
1604	6080	9	4136
1600	5744	9	4081
1604	5824	9	4048
1604	5744	9	4070
1600	5936	9	4026
1604	5760	9	4092
1604	5840	9	4048
1600	5648	9	4004
1608	5856	9	4026
1600	5824	9	4081
1604	5856	9	4048
1600	5744	9	4125
1604	5888	9	4059
1600	5808	9	4048
1604	5952	9	4048
1604	5792	9	4081
1604	5824	9	4048
1604	5648	9	4048
1604	5872	9	3960
1604	5888	9	4136
1604	5888	9	4081
1604	5824	9	4114
1600	5744	9	3993
1604	5936	9	4136
1604	5856	9	4059
1604	5744	9	4092
1604	5632	9	3949
1608	5888	9	4048
1604	6032	9	4136
1604	5808	9	4081
1604	5824	9	4059
1604	5824	3	4081
1604	5936	9	4048
1600	5824	9	4092
1600	5808	9	4048
1600	5696	9	3949
1600	5824	9	4048
1600	5888	9	4081
1604	5824	9	4059
1604	5776	9	4081
1604	5856	9	4092
1600	5856	9	4026
1604	5936	9	4081
1608	5824	9	4081
1600	5808	9	4081
1604	5680	9	4015
1600	5856	9	3993
1608	5936	9	4136
1600	5840	9	4081
1600	5856	9	4081
1600	5728	9	4004
1600	5984	9	4092
1600	5824	9	4059
1600	5776	9	4081
1604	5616	9	3938
1604	5936	9	4048
1608	6016	9	4136
1600	5824	9	4081
1608	5776	9	4081
1604	5840	9	4048
1600	5632	9	4059
1600	5872	9	4081
1600	5744	9	4081
1608	5744	9	3949
1600	5776	9	4048
1604	5904	9	4059
1604	5824	9	4092
1604	5808	9	4081
1608	5568	9	4081
1600	5888	9	4004
1600	5888	9	4092
1604	5872	9	4048
1600	5632	9	4048
1604	5696	9	4026
1604	5808	9	4004
1600	5952	9	4136
1604	5600	9	4092
1604	5872	9	4048
1600	5680	9	4026
1604	6000	9	4081
1608	5648	9	4092
1604	5808	6	4059
1604	5568	9	3960
1604	5952	9	4004
1604	5680	9	4169
1600	5856	9	4037
1608	5744	9	4081
1600	5872	9	4048
1604	5744	9	4081
1604	5888	9	4081
1600	5680	9	4081
1600	5776	9	3949
1600	5744	9	4048
1604	5888	9	4048
1608	5744	9	4081
1604	5824	9	4059
1600	5680	9	4125
1604	5888	9	3971
1600	5744	9	4114
1604	5872	9	4048
1604	5680	9	4081
1600	5728	9	3971
1600	5728	9	4026
1600	5984	9	4092
1604	5648	9	4081
1604	5888	9	4026
1604	5744	9	4037
1604	5984	9	4059
1600	5744	9	4092
1600	5808	9	4048
1600	5504	9	3949
1604	5968	9	4004
1604	5776	9	4180
1604	5856	9	4048
1600	5696	9	4081
1604	5888	9	4059
1608	5776	9	4070
1600	5888	9	4059
1600	5680	9	4081
1604	5792	9	3971
1604	5824	9	4070
1600	5888	9	4026
1600	5776	9	4114
1604	5824	9	4048
1604	5744	9	4114
1604	5888	9	3971
1604	5824	9	4147
1604	5856	9	4059
1604	5744	9	4081
1604	5680	9	3993
1604	5808	9	4026
1600	5984	3	4114
1608	5712	9	4114
1600	5872	9	4048
1608	5872	9	4048
1604	5952	9	4081
1600	5776	9	4114
1600	5776	9	4048
1600	5600	9	3949
1608	5984	9	4026
1600	5840	9	4180
1600	5840	9	4048
1600	5776	9	4092
1600	5856	9	4048
1604	5824	9	4048
1604	5872	9	4070
1608	5744	9	4081
1600	5776	9	4004
1604	5872	9	4081
1604	5888	9	4037
1600	5856	9	4136
1600	5808	9	4048
1600	5776	9	4136
1604	5872	9	3993
1604	5872	9	4136
1608	5856	9	4048
1600	5776	9	4048
1600	5680	9	3949
1600	5872	9	4048
1604	5952	9	4136
1604	5744	9	4114
1600	5856	9	4059
1608	5904	9	4026
1600	5936	9	4092
1600	5824	9	4081
1600	5776	9	4048
1604	5632	9	3960
1604	5936	9	4048
1604	5872	9	4147
1600	5824	9	4048
1600	5824	9	4059
1604	5824	9	4081
1604	5872	9	4048
1604	5856	9	4081
1604	5776	9	4081
1600	5776	9	4004
1604	5888	9	4048
1600	5824	9	4026
1608	5888	9	4081
1600	5776	9	4059
1600	5824	9	4081
1604	5808	9	4037
1604	5888	9	4136
1604	5808	9	4081
1604	5824	9	4048
1604	5632	9	3960
1604	5904	9	4026
1604	5936	9	4136
1600	5776	9	4092
1604	5808	9	4081
1604	5952	9	4048
1604	5888	9	4136
1604	5856	9	4070
1604	5728	9	4048
1604	5680	9	3938
1600	5904	9	4048
1604	5888	9	4136
1604	5744	9	4059
1604	5856	9	4048
1600	5776	9	4081
1600	5888	9	4026
1604	5632	9	4103
1600	5824	9	4081
1600	5744	9	4004
1604	5904	9	4004
1604	5648	9	4048
1604	5936	9	4081
1600	5744	9	4081
1604	5840	9	4081
1600	5680	9	4048
1604	5936	9	4092
1600	5744	9	4081
1604	5824	9	4004
1604	5552	9	3993
1604	5936	9	4037
1600	5888	9	4147
1604	5808	9	4048
1604	5648	9	4081
1600	6000	9	4026
1604	5856	9	4125
1604	5872	9	4037
1604	5632	9	4081
1600	5696	9	3938
1600	5888	9	4081
1604	5888	9	4081
1604	5616	9	4081
1600	5856	9	4037
1600	5744	9	4092
1604	5888	9	4037
1604	5728	9	4114
1600	5824	9	4048
1600	5632	9	4059
1600	5904	9	4004
1608	5600	9	4059
1604	5936	9	4081
1604	5680	9	4114
1604	5856	9	4059
1604	5744	9	4026
1604	5936	9	4059
1604	5680	9	4114
1600	5824	9	4037
1604	5632	9	3971
1600	5952	9	4015
1604	5824	9	4147
1604	5776	9	4026
1604	5712	9	4081
1600	6016	9	4026
1600	5744	9	4125
1604	5872	9	4048
1600	5680	9	4081
1604	5728	9	3949
1600	5856	9	4092
1608	5872	9	4081
1600	5680	9	4114
1604	5872	9	4037
1604	5904	9	4114
1608	5888	9	4004
1604	5776	9	4092
1600	5824	9	4026
1604	5744	9	4048
1604	5888	9	4004
1600	5680	9	4081
1600	5936	9	4081
1604	5744	9	4081
1604	5824	9	4048
1604	5824	9	4026
1604	5920	9	4114
1604	5744	9	4103
1604	5824	9	4026
1604	5696	9	3993
1608	5936	9	4048
1600	5904	9	4147
1604	5776	9	4059
1604	5760	9	4081
1600	6000	9	4037
1608	5824	9	4136
1600	5824	9	4059
1600	5744	9	4081
1604	5696	9	3938
1604	5936	9	4092
1600	5856	9	4081
1604	5728	6	4081
1604	5824	9	4059
1604	5968	9	4092
1604	5856	9	4048
1600	5856	9	4081
1608	5776	9	4048
1600	5776	9	4048
1600	5872	9	4026
1600	5728	9	4048
1600	5920	9	4136
1608	5824	9	4081
1600	5824	9	4048
1604	5856	9	4026
1604	5904	9	4114
1604	5776	9	4092
1604	5776	9	4037
1600	5744	9	3949
1608	5904	9	4048
1600	5936	9	4180
1604	5744	9	4048
1604	5824	9	4081
1604	5904	9	4059
1604	5856	9	4136
1600	5808	9	4059
1604	5776	9	3993
1604	5680	9	3949
1604	5984	9	4081
1604	5808	9	4081
1604	5760	9	4059
1600	5808	9	4048
1604	6016	9	4081
1604	5808	9	4048
1600	5888	9	4081
1600	5680	9	4048
1604	5824	9	4048
1600	5808	9	4026
1600	5744	9	4059
1604	5888	9	4147
1604	5856	9	4037
1604	5760	9	4092
